Thread Size,Height,Diameter,Starts,Speed Ratio,Travel Distance per Turn,Thread Fit,Hardness,Specifications Met,Part Number,Cost,Material,Direction,Type,Flange Diameter,Flange Thickness
"3/8""-12","7/8""","1/2""",1,1:1,"0.083""",Class 2G,Not Rated,__,95120A592,87.64,932 Bearing Bronze,right,flange,"1""","1/8"""
"1/2""-10","1""","3/4""",1,1:1,"0.1""",Class 2G,Not Rated,__,95120A111,98.57,932 Bearing Bronze,right,flange,"1 1/4""","1/8"""
"5/8""-8","1 1/4""","7/8""",1,1:1,"0.125""",Class 2G,Not Rated,__,95120A119,108.35,932 Bearing Bronze,right,flange,"1 1/2""","1/4"""
"3/4""-5","1 1/2""","1""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A123,125.52,932 Bearing Bronze,right,flange,"2""","3/8"""
"3/4""-6","1 1/2""","1""",1,1:1,"0.167""",Class 2G,Not Rated,__,95120A127,125.52,932 Bearing Bronze,right,flange,"2""","3/8"""
"7/8""-6","1 3/4""","1 1/4""",1,1:1,"0.167""",Class 2G,Not Rated,__,95120A143,142.51,932 Bearing Bronze,right,flange,"2 1/4""","1/2"""
"1""-4","2""","1 1/2""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A593,141.15,932 Bearing Bronze,right,flange,"2 1/2""","1/2"""
"1""-5","2""","1 1/2""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A151,141.16,932 Bearing Bronze,right,flange,"2 1/2""","1/2"""
"1""-6","2""","1 1/2""",1,1:1,"0.167""",Class 2G,Not Rated,__,95120A155,141.16,932 Bearing Bronze,right,flange,"2 1/2""","1/2"""
"1""-10","2""","1 1/2""",1,1:1,"0.1""",Class 2G,Not Rated,__,95120A594,141.15,932 Bearing Bronze,right,flange,"2 1/2""","1/2"""
"1 1/8""-5","2 1/4""","1 3/4""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A167,168.15,932 Bearing Bronze,right,flange,"2 3/4""","5/8"""
"1 1/4""-4","2 1/2""","2""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A171,193.36,932 Bearing Bronze,right,flange,"3""","3/4"""
"1 1/4""-5","2 1/2""","2""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A175,193.36,932 Bearing Bronze,right,flange,"3""","3/4"""
"1 1/2""-4","3""","2 1/2""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A183,252.32,932 Bearing Bronze,right,flange,"3 1/2""","3/4"""
"2""-4","4""","3""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A191,348.45,932 Bearing Bronze,right,flange,"4""","1"""
"1/2""-10","1""","3/4""",1,1:1,"0.1""",Class 2G,Not Rated,__,95120A511,98.57,932 Bearing Bronze,left,flange,"1 1/4""","1/8"""
"5/8""-8","1 1/4""","7/8""",1,1:1,"0.125""",Class 2G,Not Rated,__,95120A519,108.35,932 Bearing Bronze,left,flange,"1 1/2""","1/4"""
"3/4""-5","1 1/2""","1""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A523,125.52,932 Bearing Bronze,left,flange,"2""","3/8"""
"3/4""-6","1 1/2""","1""",1,1:1,"0.167""",Class 2G,Not Rated,__,95120A527,125.52,932 Bearing Bronze,left,flange,"2""","3/8"""
"7/8""-6","1 3/4""","1 1/4""",1,1:1,"0.167""",Class 2G,Not Rated,__,95120A543,142.51,932 Bearing Bronze,left,flange,"2 1/4""","1/2"""
"1""-5","2""","1 1/2""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A551,156.85,932 Bearing Bronze,left,flange,"2 1/2""","1/2"""
"1""-6","2""","1 1/2""",1,1:1,"0.167""",Class 2G,Not Rated,__,95120A555,156.85,932 Bearing Bronze,left,flange,"2 1/2""","1/2"""
"1 1/8""-5","2 1/4""","1 3/4""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A567,186.84,932 Bearing Bronze,left,flange,"2 3/4""","5/8"""
"1 1/4""-4","2 1/2""","2""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A571,214.84,932 Bearing Bronze,left,flange,"3""","3/4"""
"1 1/4""-5","2 1/2""","2""",1,1:1,"0.2""",Class 2G,Not Rated,__,95120A575,214.84,932 Bearing Bronze,left,flange,"3""","3/4"""
"1 1/2""-4","3""","2 1/2""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A583,308.39,932 Bearing Bronze,left,flange,"3 1/2""","3/4"""
"2""-4","4""","3""",1,1:1,"0.25""",Class 2G,Not Rated,__,95120A591,425.89,932 Bearing Bronze,left,flange,"4""","1"""
"1/4""-16","15/64""","1/2""",1,1:1,"0.063""",Class 2G,Rockwell B75,__,94815A007,2.14,Carbon Steel,right,hex,__,__
