Thread Size	Length	Thread Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Fastener Strength Grade	Hardness	Tensile Strength	Specifications Met	Part Number	Price	Material	Thread Direction
"1/4""-16"	"12"""	1	1:1	"0.063"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A703	3.95	Carbon Steel	right
"1/4""-16"	3 ft.	1	1:1	"0.063"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A803	10.78	Carbon Steel	right
"1/4""-16"	6 ft.	1	1:1	"0.063"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A205	19.61	Carbon Steel	right
"3/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A706	8.86	Carbon Steel	right
"3/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A807	16.58	Carbon Steel	right
"3/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A211	30.07	Carbon Steel	right
"3/8""-12"	"12"""	1	1:1	"0.083"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A712	4.51	Carbon Steel	right
"3/8""-12"	3 ft.	1	1:1	"0.083"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A817	8.62	Carbon Steel	right
"3/8""-12"	6 ft.	1	1:1	"0.083"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A217	13.39	Carbon Steel	right
"3/8""-12"	12 ft.	1	1:1	"0.083"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A622	15.6	Carbon Steel	right
"1/2""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A715	6	Carbon Steel	right
"1/2""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A820	18.43	Carbon Steel	right
"1/2""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A031	33.36	Carbon Steel	right
"1/2""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A718	5.5	Carbon Steel	right
