Pitch,Number of Teeth,Pitch Diameter,Outer Diameter,Face Width,Overall Width,For Shaft Diameter,Material,Teeth Heat Treatment,Hub Diameter,Hub Width,Set Screw Thread Size,Part Number,Cost
64,16,"0.25""","0.28""","1/8""","0.315""","1/8""",Brass,__,"0.19""","0.19""",__,7880K11,12.06
64,24,"0.375""","0.41""","1/8""","0.315""","1/8""",Brass,__,"0.28""","0.19""",__,7880K13,14.27
64,28,"0.438""","0.47""","1/8""","0.315""","1/8""",Brass,__,"0.34""","0.19""",__,7880K14,15.53
48,12,"0.25""","0.29""","1/8""","0.315""","1/8""",Brass,__,"0.18""","0.19""",__,7880K17,12.06
48,15,"0.312""","0.35""","1/8""","0.315""","1/8""",Brass,__,"0.22""","0.19""",__,7880K18,13.08
48,18,"0.375""","0.42""","1/8""","0.315""","1/8""",Brass,__,"0.28""","0.19""",__,7880K19,14.27
48,24,"0.5""","0.54""","1/8""","0.375""","3/16""",Brass,__,"0.38""","0.25""",__,7880K21,16.71
48,36,"0.75""","0.79""","1/8""","0.375""","3/16""",Brass,__,"0.5""","0.25""",__,7880K23,19.84
48,48,"1""","1.04""","1/8""","0.375""","1/4""",Brass,__,"0.63""","0.25""",__,7880K24,31.18
32,12,"0.375""","0.44""","3/16""","0.438""","1/8""",Brass,__,"0.28""","0.25""",__,7880K25,14.27
32,14,"0.438""","0.5""","3/16""","0.438""","1/8""",Brass,__,"0.34""","0.25""",__,7880K26,15.08
32,16,"0.5""","0.56""","3/16""","0.438""","3/16""",Brass,__,"0.4""","0.25""",__,7880K27,16
32,20,"0.625""","0.69""","3/16""","0.438""","3/16""",Brass,__,"0.47""","0.25""",__,7880K29,17.98
32,24,"0.75""","0.81""","3/16""","0.438""","3/16""",Brass,__,"0.53""","0.25""",__,7880K31,20.9
32,28,"0.875""","0.94""","3/16""","0.438""","3/16""",Brass,__,"0.59""","0.25""",__,7880K32,22.49
32,36,"1.125""","1.19""","3/16""","0.438""","1/4""",Brass,__,"0.72""","0.25""",__,7880K34,28.73
32,40,"1.25""","1.31""","3/16""","0.438""","1/4""",Brass,__,"0.72""","0.25""",__,7880K35,31.27
32,48,"1.5""","1.56""","3/16""","0.438""","1/4""",Brass,__,"0.78""","0.25""",__,7880K36,36.8
24,12,"0.5""","0.58""","1/4""","0.5""","3/16""",Brass,__,"0.38""","0.25""",__,7880K37,23.78
24,15,"0.625""","0.71""","1/4""","0.5""","3/16""",Brass,__,"0.5""","0.25""",__,7880K38,23.78
24,18,"0.75""","0.83""","1/4""","0.5""","3/16""",Brass,__,"0.54""","0.25""",__,7880K39,26.57
24,21,"0.875""","0.96""","1/4""","0.5""","3/16""",Brass,__,"0.6""","0.25""",__,7880K41,25.31
24,36,"1.5""","1.58""","1/4""","0.5""","1/4""",Brass,__,"0.79""","0.25""",__,7880K44,40.2
24,48,"2""","2.08""","1/4""","0.56""","5/16""",Brass,__,"0.92""","0.31""",__,7880K45,56.29
20,12,"0.6""","0.7""","1/2""","0.94""","5/16""",1117 Carbon Steel,Not Hardened,"0.46""","0.44""",__,5172T56,20.79
20,15,"0.75""","0.85""","1/2""","0.938""","3/8""",1144 Carbon Steel,Hardened,"0.603""","0.437""",__,5172T61,26
20,15,"0.75""","0.85""","1/2""","0.94""","3/8""",1020 Carbon Steel,Not Hardened,"0.6""","0.44""",__,5172T11,21.43
20,20,"1""","1.1""","1/2""","0.938""","1/2""",1144 Carbon Steel,Hardened,"0.853""","0.438""",__,5172T62,31.27
20,20,"1""","1.1""","1/2""","0.94""","1/2""",1020 Carbon Steel,Not Hardened,"0.84""","0.44""",__,5172T12,23.43
20,24,"1.2""","1.3""","1/2""","0.94""","1/2""",1117 Carbon Steel,Not Hardened,"0.92""","0.44""",__,5172T57,28.5
20,25,"1.25""","1.35""","1/2""","0.94""","1/2""",1020 Carbon Steel,Not Hardened,"0.97""","0.44""",__,5172T13,24.37
20,30,"1.5""","1.6""","1/2""","0.94""","1/2""",1020 Carbon Steel,Not Hardened,"1.22""","0.44""",__,5172T14,26.73
20,35,"1.75""","1.85""","1/2""","1""","1/2""",1020 Carbon Steel,Not Hardened,"1.47""","0.5""",__,5172T15,35.49
20,40,"2""","2.1""","1/2""","1""","1/2""",1020 Carbon Steel,Not Hardened,"1.72""","0.5""",__,5172T16,37.43
20,50,"2.5""","2.6""","1/2""","1""","1/2""",1117 Carbon Steel,Not Hardened,"1.62""","0.5""",__,5172T58,52.51
20,60,"3""","3.1""","1/2""","1""","1/2""",1117 Carbon Steel,Not Hardened,"2.12""","0.5""",__,5172T59,53.63
16,12,"0.75""","0.88""","3/4""","1.25""","3/8""",1117 Carbon Steel,Not Hardened,"0.56""","0.5""",__,5172T55,22.39
16,16,"1""","1.125""","3/4""","1.25""","1/2""",1144 Carbon Steel,Hardened,"0.813""","0.5""",__,5172T63,31.79
16,16,"1""","1.13""","3/4""","1.25""","1/2""",1020 Carbon Steel,Not Hardened,"0.81""","0.5""",__,5172T21,24.02
16,24,"1.5""","1.63""","3/4""","1.25""","5/8""",1020 Carbon Steel,Not Hardened,"1.2""","0.5""",__,5172T22,26.73
16,32,"2""","2.13""","3/4""","1.25""","3/4""",1020 Carbon Steel,Not Hardened,"1.7""","0.5""",__,5172T23,41.73
16,48,"3""","3.13""","3/4""","1.37""","5/8""",1020 Carbon Steel,Not Hardened,"2""","0.62""",__,5172T24,58.94
16,80,"5""","5.13""","3/4""","1.5""","3/4""",1020 Carbon Steel,Not Hardened,"3.88""","0.75""",__,5172T25,97.02
12,12,"1""","1.167""","1""","1.625""","1/2""",1144 Carbon Steel,Hardened,"0.75""","0.625""",__,5172T65,34.69
12,12,"1""","1.17""","1""","1.62""","1/2""",1020 Carbon Steel,Not Hardened,"0.75""","0.62""",__,5172T31,24.02
12,15,"1.25""","1.417""","1""","1.625""","5/8""",1144 Carbon Steel,Hardened,"0.984""","0.625""",__,5172T66,43.5
12,15,"1.25""","1.42""","1""","1.62""","5/8""",1020 Carbon Steel,Not Hardened,"0.99""","0.62""",__,5172T32,30.02
12,21,"1.75""","1.92""","1""","1.62""","3/4""",1020 Carbon Steel,Not Hardened,"1.4""","0.62""",__,5172T33,37.43
12,24,"2""","2.17""","1""","1.62""","7/8""",1020 Carbon Steel,Not Hardened,"1.65""","0.62""",__,5172T34,44.33
12,36,"3""","3.17""","1""","1.88""","3/4""",1020 Carbon Steel,Not Hardened,"1.94""","0.88""",__,5172T35,63.12
12,48,"4""","4.17""","1""","1.88""","7/8""",1020 Carbon Steel,Not Hardened,"2.88""","0.88""",__,5172T36,84.49
10,15,"1.5""","1.7""","1 1/4""","1.87""","3/4""",1117 Carbon Steel,Not Hardened,"1.22""","0.62""",__,5172T51,37.79
10,20,"2""","2.2""","1 1/4""","1.87""","7/8""",1117 Carbon Steel,Not Hardened,"1.62""","0.62""",__,5172T52,49.57
10,30,"3""","3.2""","1 1/4""","2.13""","7/8""",1117 Carbon Steel,Not Hardened,"2""","0.88""",__,5172T53,82
10,40,"4""","4.2""","1 1/4""","2.13""","1""",1117 Carbon Steel,Not Hardened,"2.95""","0.88""",__,5172T54,109.35
8,12,"1.5""","1.75""","1 1/2""","2.25""","3/4""",1020 Carbon Steel,Not Hardened,"1.12""","0.75""",__,5172T41,46.76
8,12,"1.5""","1.75""","1 1/2""","2.25""","3/4""",1144 Carbon Steel,Hardened,"1.125""","0.75""",__,5172T69,68.81
8,16,"2""","2.25""","1 1/2""","2.38""","7/8""",1020 Carbon Steel,Not Hardened,"1.56""","0.88""",__,5172T42,61.14
8,20,"2.5""","2.75""","1 1/2""","2.38""","1""",1020 Carbon Steel,Not Hardened,"2.06""","0.88""",__,5172T43,72.57
8,24,"3""","3.25""","1 1/2""","2.38""","1""",1020 Carbon Steel,Not Hardened,"2.56""","0.88""",__,5172T44,94.61
8,28,"3.5""","3.75""","1 1/2""","2.38""","7/8""",1020 Carbon Steel,Not Hardened,"3.06""","0.88""",__,5172T45,111.8
16,24,"1.5""","1.625""","3/4""","1.25""","5/8""-3/4""",1144 Carbon Steel,Hardened,"1.313""","0.5""",__,5172T64,39.21
12,21,"1.75""","1.917""","1""","1.625""","3/4""-13/16""",1144 Carbon Steel,Hardened,"1.391""","0.625""",__,5172T67,57.63
12,24,"2""","2.166""","1""","1.625""","3/4""-15/16""",1144 Carbon Steel,Hardened,"1.641""","0.625""",__,5172T68,65.9
8,20,"2.5""","2.75""","1 1/2""","2.375""","7/8""-15/16""",1144 Carbon Steel,Hardened,"2.063""","0.875""",__,5172T71,107.06
8,24,"3""","3.25""","1 1/2""","2.375""","7/8""-1 5/8""",1144 Carbon Steel,Hardened,"2.563""","0.875""",__,5172T72,162.52
64,36,"0.563""","0.59""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K36,21.15
64,48,"0.75""","0.78""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K37,22.07
48,30,"0.625""","0.67""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K43,19.6
48,36,"0.75""","0.79""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K44,21.55
48,48,"1""","1.04""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K45,23.38
32,20,"0.625""","0.69""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K52,19.6
32,24,"0.75""","0.81""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K53,20.9
32,32,"1""","1.06""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K54,22.2
32,36,"1.125""","1.19""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K55,22.32
32,48,"1.5""","1.56""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K56,25.07
32,64,"2""","2.06""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K57,34.23
32,72,"2.25""","2.31""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K58,37.62
24,15,"0.625""","0.71""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K59,16.07
24,18,"0.75""","0.83""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K61,20.9
24,24,"1""","1.08""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K62,18.55
24,36,"1.5""","1.58""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K64,25.07
24,48,"2""","2.08""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K65,33.05
24,60,"2.5""","2.58""","3/16""","0.437""","1/4""",303 Stainless Steel,Not Hardened,"0.5""","0.25""",6-32,6832K66,36.05
